课程,课次,假名,汉字,释义,词性,罗马字,例句假名,例句汉字,例句释义
初级上册,第1课,わたし,私,我,代词,watashi,わたしは学生です,私は学生です,我是学生
初级上册,第1课,がくせい,学生,学生,名词,gakusei,わたしは学生です,私は学生です,我是学生
初级上册,第1课,です,,是,助动词,desu,わたしは学生です,私は学生です,我是学生
初级上册,第1课,せんせい,先生,老师,名词,sensei,せんせいです,先生です,是老师
初级上册,第1课,あなた,貴方,你,代词,anata,あなたは学生ですか,貴方は学生ですか,你是学生吗？
初级上册,第1课,か,,吗,助词,ka,あなたは学生ですか,貴方は学生ですか,你是学生吗？
初级上册,第1课,はい,,是的,感叹词,hai,はい、学生です,はい、学生です,是的，是学生
初级上册,第1课,いいえ,,不是,感叹词,iie,いいえ、学生ではありません,いいえ、学生ではありません,不，不是学生
初级上册,第2课,これ,,这个,代词,kore,これは本です,これは本です,这是书
初级上册,第2课,それ,,那个,代词,sore,それは何ですか,それは何ですか,那是什么？
初级上册,第2课,あれ,,那个,代词,are,あれは車です,あれは車です,那是汽车
初级上册,第2课,ほん,本,书,名词,hon,これは本です,これは本です,这是书
初级上册,第2课,なに,何,什么,代词,nani,それは何ですか,それは何ですか,那是什么？
初级上册,第2课,くるま,車,汽车,名词,kuruma,あれは車です,あれは車です,那是汽车
初级上册,第2课,でんわ,電話,电话,名词,denwa,これは電話です,これは電話です,这是电话
初级上册,第2课,つくえ,机,桌子,名词,tsukue,つくえの上にあります,机の上にあります,在桌子上
初级上册,第3课,ここ,,这里,代词,koko,ここは教室です,ここは教室です,这里是教室
初级上册,第3课,そこ,,那里,代词,soko,そこは図書館ですか,そこは図書館ですか,那里是图书馆吗？
初级上册,第3课,あそこ,,那边,代词,asoko,あそこは食堂です,あそこは食堂です,那边是食堂
初级上册,第3课,きょうしつ,教室,教室,名词,kyoushitsu,ここは教室です,ここは教室です,这里是教室
初级上册,第3课,としょかん,図書館,图书馆,名词,toshokan,そこは図書館ですか,そこは図書館ですか,那里是图书馆吗？
初级上册,第3课,しょくどう,食堂,食堂,名词,shokudou,あそこは食堂です,あそこは食堂です,那边是食堂
初级上册,第3课,がっこう,学校,学校,名词,gakkou,学校はどこですか,学校はどこですか,学校在哪里？
初级上册,第3课,どこ,,哪里,代词,doko,学校はどこですか,学校はどこですか,学校在哪里？
初级上册,第4课,いま,今,现在,名词,ima,今何時ですか,今何時ですか,现在几点？
初级上册,第4课,なんじ,何時,几点,代词,nanji,今何時ですか,今何時ですか,现在几点？
初级上册,第4课,じ,時,点钟,名词,ji,三時です,三時です,三点钟
初级上册,第4课,ふん,分,分钟,名词,fun,三時十五分です,三時十五分です,三点十五分
初级上册,第4课,はん,半,半,名词,han,四時半です,四時半です,四点半
初级上册,第4课,あさ,朝,早上,名词,asa,朝起きます,朝起きます,早上起床
初级上册,第4课,ひる,昼,中午,名词,hiru,昼ご飯を食べます,昼ご飯を食べます,吃午饭
初级上册,第4课,よる,夜,晚上,名词,yoru,夜寝ます,夜寝ます,晚上睡觉
初级上册,第5课,いく,行く,去,动词,iku,学校に行きます,学校に行きます,去学校
初级上册,第5课,かえる,帰る,回,动词,kaeru,家に帰ります,家に帰ります,回家
初级上册,第5课,きます,来ます,来,动词,kimasu,ここに来ます,ここに来ます,来这里
初级上册,第5课,うち,家,家,名词,uchi,家に帰ります,家に帰ります,回家
初级上册,第5课,に,,到,助词,ni,学校に行きます,学校に行きます,去学校
初级上册,第5课,ます,,动词词尾,助动词,masu,行きます,行きます,去
初级上册,第5课,きょう,今日,今天,名词,kyou,今日行きます,今日行きます,今天去
初级上册,第5课,あした,明日,明天,名词,ashita,明日来ます,明日来ます,明天来
初级上册,第6课,たべる,食べる,吃,动词,taberu,ご飯を食べます,ご飯を食べます,吃米饭
初级上册,第6课,のむ,飲む,喝,动词,nomu,水を飲みます,水を飲みます,喝水
初级上册,第6课,みる,見る,看,动词,miru,テレビを見ます,テレビを見ます,看电视
初级上册,第6课,ごはん,ご飯,米饭,名词,gohan,ご飯を食べます,ご飯を食べます,吃米饭
初级上册,第6课,みず,水,水,名词,mizu,水を飲みます,水を飲みます,喝水
初级上册,第6课,テレビ,,电视,名词,terebi,テレビを見ます,テレビを見ます,看电视
初级上册,第6课,を,,宾格助词,助词,wo,ご飯を食べます,ご飯を食べます,吃米饭
初级上册,第6课,コーヒー,,咖啡,名词,koohii,コーヒーを飲みます,コーヒーを飲みます,喝咖啡
初级上册,第7课,あげる,上げる,给,动词,ageru,友達にプレゼントをあげます,友達にプレゼントをあげます,给朋友礼物
初级上册,第7课,もらう,貰う,得到,动词,morau,友達からもらいました,友達からもらいました,从朋友那里得到了
初级上册,第7课,ともだち,友達,朋友,名词,tomodachi,友達と話します,友達と話します,和朋友说话
初级上册,第7课,プレゼント,,礼物,名词,purezento,プレゼントをあげます,プレゼントをあげます,给礼物
初级上册,第7课,から,,从,助词,kara,友達からもらいました,友達からもらいました,从朋友那里得到了
初级上册,第7课,と,,和,助词,to,友達と話します,友達と話します,和朋友说话
初级上册,第7课,はなす,話す,说话,动词,hanasu,日本語で話します,日本語で話します,用日语说话
初级上册,第7课,にほんご,日本語,日语,名词,nihongo,日本語で話します,日本語で話します,用日语说话
初级上册,第8课,あかい,赤い,红色的,形容词,akai,赤い花です,赤い花です,是红色的花
初级上册,第8课,あおい,青い,蓝色的,形容词,aoi,青い空です,青い空です,是蓝色的天空
初级上册,第8课,しろい,白い,白色的,形容词,shiroi,白いシャツです,白いシャツです,是白色的衬衫
初级上册,第8课,くろい,黒い,黑色的,形容词,kuroi,黒いかばんです,黒いかばんです,是黑色的包
初级上册,第8课,はな,花,花,名词,hana,赤い花です,赤い花です,是红色的花
初级上册,第8课,そら,空,天空,名词,sora,青い空です,青い空です,是蓝色的天空
初级上册,第8课,シャツ,,衬衫,名词,shatsu,白いシャツです,白いシャツです,是白色的衬衫
初级上册,第8课,かばん,,包,名词,kaban,黒いかばんです,黒いかばんです,是黑色的包
初级上册,第9课,すき,好き,喜欢,形容动词,suki,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,きらい,嫌い,讨厌,形容动词,kirai,野菜が嫌いです,野菜が嫌いです,讨厌蔬菜
初级上册,第9课,えいが,映画,电影,名词,eiga,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,やさい,野菜,蔬菜,名词,yasai,野菜が嫌いです,野菜が嫌いです,讨厌蔬菜
初级上册,第9课,が,,主格助词,助词,ga,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,おんがく,音楽,音乐,名词,ongaku,音楽が好きです,音楽が好きです,喜欢音乐
初级上册,第9课,スポーツ,,运动,名词,supootsu,スポーツが好きです,スポーツが好きです,喜欢运动
初级上册,第9课,りょうり,料理,料理,名词,ryouri,日本料理が好きです,日本料理が好きです,喜欢日本料理
初级上册,第10课,あります,,有,动词,arimasu,机の上に本があります,机の上に本があります,桌子上有书
初级上册,第10课,います,,有,动词,imasu,公園に人がいます,公園に人がいます,公园里有人
初级上册,第10课,うえ,上,上面,名词,ue,机の上にあります,机の上にあります,在桌子上面
初级上册,第10课,した,下,下面,名词,shita,机の下にあります,机の下にあります,在桌子下面
初级上册,第10课,なか,中,里面,名词,naka,かばんの中にあります,かばんの中にあります,在包里面
初级上册,第10课,そと,外,外面,名词,soto,外にあります,外にあります,在外面
初级上册,第10课,こうえん,公園,公园,名词,kouen,公園に人がいます,公園に人がいます,公园里有人
初级上册,第10课,ひと,人,人,名词,hito,公園に人がいます,公園に人がいます,公园里有人
